2025-06-18T21:12:58,484f06,KLM91R,2025-06-18T21:12:41,52.061096,5.612411,33.7,23200,422,132,1
2025-06-18T21:15:06,4ca2cb,EIN65T,2025-06-18T21:13:36,51.843226,4.565735,46.6,36025,427,300,15
2025-06-18T21:15:52,398572,AFR1799,2025-06-18T21:14:40,51.802963,5.18577,31.7,18750,391,164,46
2025-06-18T21:16:06,780ae5,CCA934,2025-06-18T21:14:38,52.169907,5.580444,32.7,33000,519,53,38
2025-06-18T21:16:18,45ac4f,,2025-06-18T21:12:44,52.281561,5.1828,22.2,4900,247,251,13
2025-06-18T21:17:47,471faa,WZZ42RS,2025-06-18T21:16:41,51.946153,4.24033,62.2,34275,410,273,60
2025-06-18T21:19:03,3c54a5,EWG8NG,2025-06-18T21:17:47,51.799759,5.438158,38.5,25425,443,101,49
2025-06-18T21:21:21,4850f5,KLM835,2025-06-18T21:18:11,52.341293,5.091095,28.6,8350,327,136,4
2025-06-18T21:21:33,48548c,KLM1641,2025-06-18T21:15:54,52.264435,4.851151,27.1,8100,296,170,79
2025-06-18T21:22:53,3c66ac,DLH7HL,2025-06-18T21:21:37,51.90889,5.862656,54.4,22950,434,132,33
